n_index,p_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
8,8,132.0,146.0,178.0,268.0,106.0,-0.10784000000008195,2.454199999998713,0.21887999999610297,-0.20407100000006625,-0.006948400000135926,-0.0015759899999996507
8,9,134.0,134.0,170.0,247.0,106.0,-0.1678400000000817,2.4491999999987155,0.241879999996107,-0.1948710000000662,-0.006028400000135927,-0.0027329899999996524
8,10,136.0,106.0,114.0,222.0,107.0,-0.10184000000008235,2.413199999998717,-0.09612000000388093,-0.1804510000000665,-0.007168400000135918,-0.0009519899999996483
9,0,128.0,631.0,778.0,724.0,105.0,-0.06084000000008222,2.793199999998717,-0.15812000000388168,-0.25981100000006674,0.002231599999864084,-0.0015759899999996496
9,1,128.0,589.0,749.0,713.0,105.0,-0.06984000000008232,2.4691999999987146,0.12787999999611652,-0.22467100000006668,0.003971599999864073,-0.00039298999999964857
9,2,127.0,549.0,727.0,705.0,104.0,-0.05184000000008196,2.4171999999987164,0.1598799999961353,-0.22179100000006635,0.004091599999864104,-0.0014329899999996495
9,3,128.0,536.0,708.0,701.0,104.0,-0.05684000000008217,2.2211999999987144,0.32187999999611844,-0.19913100000006648,0.0035715999998640786,-0.00022398999999964877
9,4,125.0,537.0,645.0,679.0,102.0,-0.06184000000008215,2.434199999998713,0.18287999999614962,-0.22175100000006667,0.00025159999986408424,-0.001237989999999648
9,5,126.0,494.0,447.0,636.0,103.0,-0.06284000000008201,2.3101999999987184,0.7958799999960807,-0.21333100000006658,-0.00040840000013591565,-0.0019009899999996498
9,6,128.0,345.0,269.0,520.0,103.0,-0.07984000000008214,2.3801999999987182,0.5038799999960989,-0.22045100000006668,-0.000568400000135916,-0.0015109899999996516
9,7,130.0,224.0,256.0,395.0,105.0,-0.10684000000008217,2.1921999999987176,0.2198799999961022,-0.19459100000006643,-0.0031684000001359256,0.000257010000000351
9,8,132.0,146.0,179.0,269.0,105.0,-0.1478400000000819,2.4501999999987136,0.42487999999610604,-0.2046110000000662,-0.007228400000135918,-0.0033049899999996533
9,9,134.0,134.0,171.0,248.0,106.0,-0.1438400000000819,2.4371999999987155,0.5528799999961062,-0.1959310000000661,-0.008008400000135928,-0.002576989999999655
9,10,136.0,106.0,114.0,222.0,106.0,-0.12784000000008197,2.4331999999987146,0.07487999999613638,-0.18559100000006631,-0.005888400000135903,-0.003200989999999655
10,0,128.0,631.0,778.0,723.0,105.0,-0.0698400000000823,2.7811999999987185,0.2768799999961249,-0.2598310000000663,0.0025115999998640646,-0.002641989999999653
10,1,128.0,589.0,749.0,713.0,104.0,-0.04284000000008197,2.484199999998716,-0.11112000000389226,-0.2321110000000663,0.0037315999998640947,-0.002524989999999654
10,2,127.0,548.0,727.0,705.0,104.0,-0.026840000000081916,2.4341999999987154,0.29187999999611647,-0.2215310000000666,0.00489159999986406,0.00030901000000035104
10,3,128.0,536.0,708.0,701.0,104.0,-0.031840000000082164,2.2191999999987155,0.3738799999961257,-0.20897100000006624,0.0059715999998640615,0.0010500100000003503
10,4,126.0,537.0,646.0,678.0,103.0,-0.05184000000008202,2.422199999998717,0.561879999996093,-0.2232710000000665,0.0039515999998640935,-0.0008609899999996483
10,5,126.0,495.0,448.0,636.0,103.0,-0.036840000000081925,2.3051999999987194,1.0428799999960723,-0.21463100000006644,0.0015715999998640489,-0.0005229899999996486
10,6,127.0,345.0,270.0,520.0,103.0,-0.08784000000008245,2.3561999999987173,0.9358799999960877,-0.21503100000006645,-0.00026840000013592395,-0.0011859899999996505
10,7,131.0,225.0,256.0,396.0,105.0,-0.14184000000008207,2.1921999999987167,0.7268799999960829,-0.19379100000006622,-0.0025284000001359343,0.000231010000000352
10,8,132.0,147.0,180.0,270.0,105.0,-0.15284000000008185,2.4421999999987136,0.5948799999961137,-0.20219100000006612,-0.005468400000135918,-0.0019009899999996535
10,9,134.0,135.0,171.0,248.0,105.0,-0.14584000000008185,2.455199999998713,0.16487999999612377,-0.1957110000000662,-0.007288400000135922,-0.0024859899999996556
10,10,136.0,106.0,114.0,224.0,106.0,-0.16384000000008178,2.4031999999987144,0.3998799999960765,-0.18049100000006635,-0.005008400000135915,-0.0018619899999996526
